sample,genome_id,gene_id,marker_id,bits,evalue,fident
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,etfA,44,1.779e-6,0.361
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,lysophospholipase,53,4.466e-10,0.277
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,fadE,199,1.794e-57,0.361
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,frhG,41,7.375e-6,0.358
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,mmcF,75,1.292e-15,0.283
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,pepN,68,8.463e-14,0.297
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000005.1,susD,139,2.479e-36,0.3
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,crt,200,1.722e-59,0.426
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,acs,52,4.881e-9,0.216
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000009.1,extracellular_protease,122,1.598e-30,0.411
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000008.1,ilvE,248,1.17e-74,0.406
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000008.1,susC,327,1.288e-93,0.296
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,sucD,348,3.136e-110,0.615
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,oppA,189,2.538e-52,0.304
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,fadD,113,1.015e-27,0.25
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,lctB,73,1.769e-16,0.261
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,susC,86,2.454e-19,0.232
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000005.1,fadE,240,5.375e-71,0.398
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,frhG,48,9.703e-9,0.274
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,extracellular_protease,69,3.222e-14,0.285
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000009.1,bcd,365,1.016e-113,0.518
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,etfA,197,1.216e-57,0.403
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,pepT,234,8.302e-69,0.389
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,agl,79,2.302e-17,0.268
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,crt,127,2.424e-34,0.332
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,cazy_GH13,128,2.562e-32,0.316
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,pfor,42,3.194e-6,0.279
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,mmcE,675,4.193e-219,0.636
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,susC,84,5.255e-19,0.298
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,hbd,85,1.055e-20,0.435
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,frhG,45,8.244e-8,0.328
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000009.1,pta,162,1.363e-42,0.328
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000008.1,fadD,49,1.965e-8,0.254
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,pfkA,286,6.932e-88,0.49
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,pepN,49,7.883e-8,0.242
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,sucD,102,1.026e-24,0.446
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,pfor,45,9.836e-7,0.225
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000008.1,adh,48,1.878e-8,0.272
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,hbd,136,2.756e-34,0.312
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,frhB,43,2.033e-7,0.383
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,cazy_GH13,98,2.746e-23,0.294
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,gdh,509,6.242e-162,0.56
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,etfA,163,1.323e-46,0.426
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,dtpT,324,1.792e-97,0.37
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,susD,172,1.313e-47,0.347
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,pgi,661,3.862e-214,0.614
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,susC,703,2.033e-220,0.43
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000014.1,mdh,241,7.238e-73,0.443
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,adh,61,1.793e-12,0.278
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,fadB,88,2.404e-21,0.308
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,mmcF,168,1.204e-50,0.606
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,susC,689,5.436e-214,0.403
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,gdh,58,4.322e-11,0.542
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000005.1,dppC,184,1.152e-52,0.434
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,thl,271,1.026e-81,0.432
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000005.1,susC,484,3.418e-146,0.336
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000008.1,acs,61,5.751e-12,0.227
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,sucC,363,9.327e-113,0.478
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,acs,76,3.532e-16,0.232
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,pepN,169,1.043e-44,0.289
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,hydA,82,1.209e-18,0.278
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,crt,160,4.928e-46,0.376
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,fadA,349,3.013e-108,0.503
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,bcd,262,9.09e-79,0.389
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,etfB,132,2.058e-36,0.358
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,mvhG,51,1.186e-9,0.327
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,fadB,133,2.351e-36,0.395
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,fadB,125,3.879e-31,0.3
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,hbd,181,7.233e-49,0.31
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000005.1,bcd,345,3.578e-107,0.466
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,fadD,224,1.415e-63,0.326
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,hbd,302,5.282e-94,0.538
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,fadA,332,6.897e-103,0.47
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,cat,259,1.03e-80,0.604
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,pepN,99,4.06e-23,0.256
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,dppA,158,4.185e-42,0.274
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,etfA,93,6.657e-23,0.296
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,fadD,330,3.695e-99,0.385
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000014.1,gapA,290,2.905e-89,0.48
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,dppB,217,3.529e-64,0.4
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,thl,416,1.791e-131,0.56
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,folD,310,7.16e-97,0.563
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,fadB,139,9.196e-36,0.328
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,crt,57,1.96e-10,0.285
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,mmcE,285,9.052e-80,0.362
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000009.1,fadE,268,2.245e-80,0.425
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000011.1,extracellular_protease,126,6.523e-31,0.339
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,lctC,384,1.92e-119,0.462
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,ilvE,66,4.795e-14,0.282
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,pyk,363,6.671e-112,0.437
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,acs,738,1.562e-238,0.553
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000011.1,endopeptidase,219,1.307e-63,0.401
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,fadB,166,9.519e-48,0.348
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,hbd,240,5.136e-73,0.482
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000010.1,pepQ,138,2.575e-36,0.358
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000013.1,lctB,231,1.014e-70,0.445
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,susC,644,4.88e-200,0.405
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000005.1,oppB,201,2.643e-58,0.486
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,rnfB,42,4.222e-6,0.365
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,agl,83,2.648e-18,0.329
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,cazy_GH43,60,2.498e-11,0.264
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,fadB,192,8.002e-56,0.407
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000007.1,susD,205,5.082e-58,0.37
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000006.1,lctD,85,4.911e-21,0.316
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000004.1,mmcG,104,9.061e-29,0.412
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000003.1,fdhA,48,5.068e-8,0.432
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000011.1,fdhA,44,2.9e-6,0.197
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,fwdA,46,3.785e-7,0.415
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,adh,72,7.096e-16,0.259
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000001.1,susD,129,5.463e-33,0.278
FW_TWAS_AS_rep_2,GCA_044230255.1,JBGARK010000002.1,oppB,169,1.295e-47,0.355
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000012.1,fdhA,64,1.509e-12,0.44
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000026.1,acylglycerol_lipase,178,1.393e-51,0.347
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000017.1,susC,600,1.215e-183,0.376
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000008.1,pepT,261,7.692e-78,0.419
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000035.1,frhG,40,2.087e-7,0.292
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000021.1,acs,82,4.104e-18,0.223
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000010.1,susC,630,1.738e-193,0.393
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000004.1,pepQ,173,1.288e-46,0.329
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000022.1,susD,132,7.596e-34,0.263
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000041.1,susC,78,5.921e-17,0.409
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000025.1,lctC,45,9.877e-7,0.336
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000049.1,susC,271,1.924e-75,0.267
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,cazy_GH43,45,3.774e-7,0.278
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000039.1,susD,123,5.153e-31,0.273
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000006.1,fadE,158,4.771e-42,0.345
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000001.1,dtpT,100,5.783e-24,0.259
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000024.1,acylglycerol_lipase,58,1.558e-11,0.327
FW_TWAS_AS_rep_2,GCA_035410845.1,DAONRV010000039.1,susC,611,1.13e-188,0.381
