sample,feature_id,genome_id
FW_TWAS_AS_rep_1,ASV_415997c454be2afb5023782f88a1a22be96ec26f,GCA_046347895.1
FW_TWAS_AS_rep_1,ASV_fb18c698a00f03323d87e68f4bad2e6abae99bd6,GCA_046329445.1
FW_TWAS_AS_rep_1,ASV_1b636d6c9298da410b93c7229bed6e4a8cf87d48,GCA_022484585.1
FW_TWAS_AS_rep_1,ASV_4fc0cd3add292d9baf388508ff26bb40bbe27f89,GCA_016191845.1
FW_TWAS_AS_rep_1,ASV_f9d2ad0ad139413a930f1e5653779d8f0cdcca65,GCA_044238845.1
FW_TWAS_AS_rep_1,ASV_87fe4fa92eab045ca82860aab1915ed4766ae4f8,GCA_035352255.1
FW_TWAS_AS_rep_1,ASV_f57d343105ff9cdb54f36f2de2df238c85b55824,GCA_044230475.1
FW_TWAS_AS_rep_1,ASV_a3ed86d84a84737d63fb22aba3bc19e7d21e145d,GCA_963749005.1
FW_TWAS_AS_rep_1,ASV_16997d97ef250ed047c8cfb631fa6ef131f96917,GCF_023893595.1
FW_TWAS_AS_rep_1,ASV_e372c1bf75fa2a38e1b56abcd854c9d0dde09dbb,GCA_963814445.1
FW_TWAS_AS_rep_1,ASV_3849b145f3d93a0a4ddf4616986dbd198b772b5f,GCA_016710525.1
FW_TWAS_AS_rep_1,ASV_a4d2d87446c6d4b2b33126939f49599ca605a121,GCA_035364515.1
FW_TWAS_AS_rep_1,ASV_18bad7fa31d83051942ecdc9a71a2370877bd259,GCA_050183115.1
FW_TWAS_AS_rep_1,ASV_dc07b27fd78bc2cc4a2d530f366d1c5371a1b1f7,GCA_035358495.1
FW_TWAS_AS_rep_1,ASV_b9d9a561d3873a7606e0a0183cca5443e80f3a17,GCA_044224105.1
FW_TWAS_AS_rep_1,ASV_df8da6d7cb9f1f475aba46a974c912b6a1ac7843,GCA_015075465.1
FW_TWAS_AS_rep_1,ASV_550affa22df5272fe67a1e76cd5db2c6ae0d5a2c,GCA_018604165.1
FW_TWAS_AS_rep_1,ASV_cf4a2df85e9feb9aa90b46fc9d3bfbacb484da03,GCA_963779235.1
FW_TWAS_AS_rep_1,ASV_6689d87879f9a0a2690c371451e02cb07f563980,GCA_046351595.1
FW_TWAS_AS_rep_1,ASV_8d25d41d5b7eb5d00e19d67a4395cb8616712766,GCA_035419325.1
FW_TWAS_AS_rep_1,ASV_515e1ef7ddf9e303b5139961e91b3b1099512289,GCA_016703135.1
FW_TWAS_AS_rep_1,ASV_601f7784bbad35fa9bd6e77c76f9c842a1a41d57,GCA_046349545.1
FW_TWAS_AS_rep_1,ASV_60519b721ecb986ed0f655be3110c41d2f71adcc,GCA_016704225.1
FW_TWAS_AS_rep_1,ASV_9410639e2f815d664ae167c9a37ff865e1365b8c,GCA_937869105.1
FW_TWAS_AS_rep_1,ASV_3507349652070dab39b51e33ebd6effd9ef19624,GCA_023261595.1
FW_TWAS_AS_rep_1,ASV_cc4591ed50e0fe07a231f9604513917df6e2dd67,GCA_040766305.1
FW_TWAS_AS_rep_1,ASV_bcf6c4c79ef621008a4ffa4b3104eeb4210a0118,GCF_049943315.1
FW_TWAS_AS_rep_1,ASV_044c36a06f990e25e79a9c1c64ee33e5a0b13ef9,GCA_029565215.1
FW_TWAS_AS_rep_1,ASV_ed596fe5b4c4f28c636679abe5e50f45d22b8a21,GCA_044223705.1
FW_TWAS_AS_rep_1,ASV_32a38074fce3fa9e3774452aef74db363faa52c0,GCA_029569365.1
FW_TWAS_AS_rep_1,ASV_21e741955fe55b8bbb1271452b75a4ee1fa1f935,GCA_041396145.1
FW_TWAS_AS_rep_1,ASV_0e50deaeeef3b8e5c2436daf483240d3c1ae1893,GCA_035452445.1
FW_TWAS_AS_rep_1,ASV_ff4e5b6e15ddce1eeaee77253e73ddd22e927e5b,GCA_046331075.1
FW_TWAS_AS_rep_1,ASV_250d3aef3fdac9cbfb64083cf8eafc0d7f7454aa,GCF_022012435.1
FW_TWAS_AS_rep_1,ASV_e6968b70b06c0a4b8848fda49515858fafad5be1,GCA_035395015.1
FW_TWAS_AS_rep_1,ASV_f4ff1540bb111a1712893036ace98b37d5436089,GCA_035376965.1
FW_TWAS_AS_rep_1,ASV_f5358b3daee754bdc7cbba6fc324290d530b38a8,GCA_035451445.1
FW_TWAS_AS_rep_1,ASV_e4044d3be291d0ffce33c62f4df86a3a7de87676,GCA_037045585.1
FW_TWAS_AS_rep_1,ASV_0f9ecde55e164e265bced7170b2cae81eebb4eb9,GCA_016717055.1
FW_TWAS_AS_rep_1,ASV_db308b47e2ca86cf0957a444d743997f3c3205f2,GCF_051962735.1
FW_TWAS_AS_rep_1,ASV_a022f5cd727e1637ba8a52b2cc980c5a8a359fb3,GCA_046348625.1
FW_TWAS_AS_rep_1,ASV_9545c781b9ac80e8d67896a55010b0c4b72096b1,GCA_036387945.1
FW_TWAS_AS_rep_1,ASV_00f4321b2c8c4ae5cc11f91f528f1fd3089a3ae0,GCA_046329585.1
FW_TWAS_AS_rep_1,ASV_598cf233b896fe83e4951a8493ce0468ff6669df,GCA_033810415.1
FW_TWAS_AS_rep_1,ASV_b9a312ee1f72717d7bad8df20ef5069a9372b86f,GCA_964527785.1
FW_TWAS_AS_rep_1,ASV_4f52dd11d6a3f03a060b8715de305561bfdb4803,GCF_027111095.2
FW_TWAS_AS_rep_1,ASV_10ddce4c8dd94d5e047159e739cf71883544f000,GCA_046347895.1
FW_TWAS_AS_rep_1,ASV_9fa80b984c20e7930495f0f00167e6b23f1d0bbd,GCF_024341885.1
FW_TWAS_AS_rep_1,ASV_5917090d6b3cca3e9f265ede8a2afd4db2d4c795,GCF_039830215.1
FW_TWAS_AS_rep_1,ASV_405f1bb4971192ccd5d225d60e1d3a04e55eedde,GCF_020034655.1
FW_TWAS_AS_rep_1,ASV_253093fb492f6012d4fb04c3f88b1264d4b93c54,GCA_035434385.1
FW_TWAS_AS_rep_1,ASV_9e668dc359b5cc60b61dea06bf4d53ac967a3946,GCA_035434045.1
FW_TWAS_AS_rep_1,ASV_5d3012d78ea0643cc7391edf6cffd9a1192ec40f,GCA_049643045.1
FW_TWAS_AS_rep_1,ASV_229cbe75af3dfc6518a9294400c2c83c8156be1e,GCA_046331345.1
FW_TWAS_AS_rep_1,ASV_f5a2eee82f28e21cb66939577af0616b2f8d0c9c,GCA_021808285.1
FW_TWAS_AS_rep_1,ASV_14299c435d052c167bf484e4dd8bc0a7e2306b53,GCA_030537075.1
FW_TWAS_AS_rep_1,ASV_414d3fa5b8f9ad9bc4a6d4a92e82a88bca6ee197,GCA_963709485.1
FW_TWAS_AS_rep_1,ASV_a1b290bc6493a44d9c20093f3bed98cd03b6fc53,GCA_035410845.1
FW_TWAS_AS_rep_1,ASV_dbedc23d4b356002e5fdaf8898b5989c5ca3d690,GCA_041910895.1
FW_TWAS_AS_rep_1,ASV_11539b8a9a4d43dcedf8368aa4044ff945ee01db,GCA_019454985.1
FW_TWAS_AS_rep_1,ASV_fd4c2ffac8972ca4a918174d0f8281c25b3ca708,GCA_016705885.1
FW_TWAS_AS_rep_1,ASV_44c8484481a00fd6ca6d80da73d71fe29810d91b,GCA_035351355.1
FW_TWAS_AS_rep_1,ASV_cb1fc5be6bc5790d96ff6d5552a6bd7f5b6f3845,GCA_016795365.1
FW_TWAS_AS_rep_1,ASV_429fc68f4c3bb63014b0cee6f0f94fc25a147942,GCA_017347485.1
FW_TWAS_AS_rep_1,ASV_ec9ea72ec9ca693c1270876a5c151286d67ba7dd,GCA_037200505.1
FW_TWAS_AS_rep_1,ASV_e586a5584430cacd10472a14994f8107cf912e7d,GCA_943370345.1
FW_TWAS_AS_rep_1,ASV_36f6bece205d991b8b0f048078f382ca0d29e15b,GCA_903922995.1
FW_TWAS_AS_rep_1,ASV_f8c7e3ecc1dcf63c83a43f6cf1e50d614c0c4534,GCA_016712025.1
FW_TWAS_AS_rep_1,ASV_9df543068bf023fb2b7d98e5f5115a5b2ef4d07b,GCA_016717165.1
FW_TWAS_AS_rep_1,ASV_2cd0d951898354c45aa5b875855c9d91c752a976,GCA_016702775.1
FW_TWAS_AS_rep_1,ASV_fd680ce4a3e26b77c38dbe4bff95f3207564a1d9,GCA_041674545.1
FW_TWAS_AS_rep_1,ASV_ded5ae65f9e27c4712c34bdd0fade350d8f72021,GCA_035364295.1
FW_TWAS_AS_rep_1,ASV_1b937dc8e4f72acda2306758610a489bbd0389eb,GCA_018061365.1
FW_TWAS_AS_rep_1,ASV_8f3fb3f37003141387237e917396ba80a63e6fb2,GCA_016714645.1
FW_TWAS_AS_rep_1,ASV_924eab0b540d526ec0e9699ed39706c3bd405c93,GCA_046351615.1
FW_TWAS_AS_rep_1,ASV_c66e04989ab20bc6bdbed79cbb2f9f2b68aef3c4,GCA_049291395.1
FW_TWAS_AS_rep_1,ASV_8088c699c411425440e40659fb02b9ef8eccb7c9,GCA_004168015.1
FW_TWAS_AS_rep_1,ASV_344aebdef297033af095ed72177ff5b105d85680,GCF_004127515.1
FW_TWAS_AS_rep_1,ASV_ee2eb447ce0a6bf61a723abbded9768bf0c61d72,GCF_046764005.1
FW_TWAS_AS_rep_1,ASV_41353b814c7d8d12beaeacfb9543f30bd1d7bfb6,GCA_044220615.1
FW_TWAS_AS_rep_1,ASV_532ec9243fa6f4634de664865242824cad2bf5d9,GCA_035396845.1
FW_TWAS_AS_rep_1,ASV_0dcc803e23fc9d875f565e04b06f486c891bc2db,GCA_036839835.1
FW_TWAS_AS_rep_1,ASV_fb4cee6bb46472ce766402b91fa2258ba003a4ec,GCA_018000955.1
FW_TWAS_AS_rep_1,ASV_a2cbf087989d1fcbda05dea24f34d56cec6429d6,GCA_004138365.1
FW_TWAS_AS_rep_1,ASV_5f94d1de1ab9dfb3b207d5e6b2a6934219c2ee2a,GCA_963695105.1
FW_TWAS_AS_rep_1,ASV_019d94273e9eb64a24a52c1b2b31ddea0ab8525c,GCA_040772985.1
FW_TWAS_AS_rep_1,ASV_507e90e189c7f210f355a89973e299ed8c631a62,GCA_048499395.1
FW_TWAS_AS_rep_1,ASV_6d658eb65e85a977556a3ff5d0067384e9b83a9d,GCA_016722635.1
FW_TWAS_AS_rep_1,ASV_f679ebb6e9c4d53999a91414d6dbad6b6a298818,GCA_034676565.1
FW_TWAS_AS_rep_1,ASV_8403221786f306c2496ad4cfa24b8515e767c449,GCA_016716985.1
FW_TWAS_AS_rep_1,ASV_70678388e864e31f0be29fd13e02bf37d343437f,GCA_041904965.1
FW_TWAS_AS_rep_1,ASV_6238116fde5f817d288bb8382052db34918de885,GCA_963695105.1
FW_TWAS_AS_rep_1,ASV_5fe48eecbe80253ef4a4b36aca649a231b6c3c1a,GCA_037045515.1
FW_TWAS_AS_rep_1,ASV_30064b22269e7776e7448e46579e7c654d5acf0f,GCA_963849015.1
FW_TWAS_AS_rep_1,ASV_fbb641edd647e1cfc20b088993de610e25657973,GCA_044227805.1
FW_TWAS_AS_rep_1,ASV_333ad0de64f7aa7b3fa9edd874e481423dc5d655,GCA_016711965.1
FW_TWAS_AS_rep_1,ASV_3b037e2ce1f912f1a77be496cb2d14f6ea4ae667,GCA_964634325.1
FW_TWAS_AS_rep_1,ASV_9627f994d3f8162b004c61b4f43fee3ef122e05e,GCA_046351615.1
FW_TWAS_AS_rep_1,ASV_dd1b3f59050030089da625bd388ad566c1233878,GCF_025821515.1
FW_TWAS_AS_rep_1,ASV_4fc8e3e726bc7e1aa5f5dde6237ced96e1a48177,GCA_016711835.1
FW_TWAS_AS_rep_1,ASV_2d350985c560ca78f8fd3ef804e76e2b8b21c85b,GCA_041907465.1
FW_TWAS_AS_rep_1,ASV_149360fe7549351ef0b786a67500eb57ee7e701d,GCA_013824685.1
FW_TWAS_AS_rep_1,ASV_59c6f49aae538059f427d15c7422ef8a48ae0b8c,GCA_041910895.1
FW_TWAS_AS_rep_1,ASV_d914ddbaf284e07e0204036992aecab27a3cbb6b,GCA_016714715.1
FW_TWAS_AS_rep_1,ASV_87a7dc02f24807d319fbda274392a289ad9d46b1,GCF_030143255.1
FW_TWAS_AS_rep_1,ASV_4674867b16b718ce298ac009c5f705373a729a84,GCA_046347845.1
FW_TWAS_AS_rep_1,ASV_20a6ff46c98724d3c12db54098afecb3f075cf3b,GCA_040766455.1
FW_TWAS_AS_rep_1,ASV_ccb5e585a64a8020450afef314999aa1a8388bfb,GCA_016700375.1
FW_TWAS_AS_rep_1,ASV_8db852bf023e732fa2efe88beed6d98c820d7520,GCA_042852035.1
FW_TWAS_AS_rep_1,ASV_c8a4ae9e13886238101e51531d9a7ba61fccd816,GCA_014642275.1
FW_TWAS_AS_rep_1,ASV_a086ba8d8397a0f08259cce5cb026255f97eb71e,GCA_963695105.1
FW_TWAS_AS_rep_1,ASV_7ea01310d3af337028dbf62e83f4796c5c0a68b8,GCF_002165385.1
FW_TWAS_AS_rep_1,ASV_4726a74fab340b043fde835d068f06e8cfe6c4d7,GCF_026261605.1
FW_TWAS_AS_rep_1,ASV_55847c1161fb37e9ef89b3920c656a88cd27abca,GCA_016707485.1
FW_TWAS_AS_rep_1,ASV_67a59d936b938b0736e89fe5bfdd76e1ee92095b,GCA_016722395.1
FW_TWAS_AS_rep_1,ASV_e714b995687239a3997116b87a9078ad1616a3ab,GCA_016704085.1
FW_TWAS_AS_rep_1,ASV_fe685ad52ef0044e5c8480169e452f9054287e1f,GCA_044220735.1
FW_TWAS_AS_rep_1,ASV_541c15a3f123802a455e7cd9d6e50124418ced4a,GCA_965229115.1
FW_TWAS_AS_rep_1,ASV_3cfa4449005ff04445130a3ac4ae92ff913f25e2,GCA_031972215.1
FW_TWAS_AS_rep_1,ASV_4fca0f62ee9de83c13ad6e346045b0619be3eb8c,GCA_044221195.1
FW_TWAS_AS_rep_1,ASV_3e54b6655f7f2a1797c3d042bce148e5c4076d2e,GCA_044351045.1
FW_TWAS_AS_rep_1,ASV_ac9ae1efa43a9310197716e2d98f9ae73693b24f,GCA_035374025.1
FW_TWAS_AS_rep_1,ASV_4445ed9337e56aa9cffb33a6943c0eaf205d80b9,GCA_049290295.1
FW_TWAS_AS_rep_1,ASV_d2fd6a90cba519ccc13e455ba5660fbe01b1b69d,GCA_035379705.1
FW_TWAS_AS_rep_1,ASV_f8aa06613f1020ce4ac4336af3671f48d8d1c6fc,GCA_013824685.1
FW_TWAS_AS_rep_1,ASV_b29db807d1e5d7ee44301c4ddde71b3febf23e33,GCA_016722575.1
FW_TWAS_AS_rep_1,ASV_7f62c14e599ee1d06181ae4dbd834472e2c318f9,GCA_964404795.1
FW_TWAS_AS_rep_1,ASV_b5f2b13884ad3e1d41eb5ee0d767d9edde1a0af6,GCA_035417985.1
FW_TWAS_AS_rep_1,ASV_743663415a523913c4df4b38d7e3887cc326cfb7,GCA_937871025.1
FW_TWAS_AS_rep_1,ASV_768891d2662dc4389953f03048b8c70976a9860c,GCA_016706645.1
FW_TWAS_AS_rep_1,ASV_4f5c413cf399feb9001d2c6209020baaeb505f3c,GCA_016721435.1
FW_TWAS_AS_rep_1,ASV_84b1e52ac1454dbc8c7af8337347131d012a24b7,GCA_016722075.1
FW_TWAS_AS_rep_1,ASV_e165e94621ad4095c9ee6ef6dd62892b3979f99f,GCA_046329695.1
FW_TWAS_AS_rep_1,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,GCA_018003655.1
FW_TWAS_AS_rep_1,ASV_3d555b727fdc12c8957ba60a6268b167d9a9b20b,GCA_024235995.1
FW_TWAS_AS_rep_1,ASV_53a46e84e63092f99551e72a13592f5424751b31,GCA_937898325.1
FW_TWAS_AS_rep_1,ASV_d24bcc38c2126dbc0da3ba2bf8edc2536473f9c0,GCA_044229175.1
FW_TWAS_AS_rep_1,ASV_3df6d89481a9488de8f36f2ff4f634e0c5262fd3,GCA_018242085.1
FW_TWAS_AS_rep_1,ASV_066b71e43003b303e3ecea8d980b7a2cd7bb07e5,GCA_040080065.1
FW_TWAS_AS_rep_1,ASV_c9b0fb38a878415bde8bc501111eca34ada47b26,GCF_019430125.1
FW_TWAS_AS_rep_1,ASV_cf9086da51e33af3489fd865d2cf097fc1cf4c76,GCA_942492815.1
FW_TWAS_AS_rep_1,ASV_6eed6a30e0ff7a58dc0bb35b3181039ee0b64cf2,GCA_046329225.1
FW_TWAS_AS_rep_1,ASV_40fdd4aee16b72ba7bd404cf66b852363a3b8708,GCA_016707525.1
FW_TWAS_AS_rep_1,ASV_e8670186245818f91c2d044c501ce80dd46ee96e,GCA_036569545.1
FW_TWAS_AS_rep_1,ASV_7b63982775e2c494c2aaffcfdcdd6cb677df530f,GCA_035332425.1
FW_TWAS_AS_rep_1,ASV_3e7bafb301fc0d873a0ddd1b922d759f3a86b49d,GCF_051958235.1
FW_TWAS_AS_rep_1,ASV_13da58439a716a4500f6ec169402d5c97c5c3ed6,GCA_018240425.1
FW_TWAS_AS_rep_1,ASV_e6e40a0e8ea5e5da331c32763d7598946008fb4a,GCA_050287485.1
FW_TWAS_AS_rep_1,ASV_5693674871d0fd53ab726528df017427f96797fa,GCA_019636095.1
FW_TWAS_AS_rep_1,ASV_1df18e9ea56b27aa9282777dbf9a4764bea71352,GCA_037046705.1
FW_TWAS_AS_rep_1,ASV_1357580422f02ded6c4e4226c34dbca82d8bc901,GCA_037045785.1
