sample,feature_id,genome_id
FW_AS_rep_2,ASV_02ef461c2925a1c43c8bc8d250977982a9e50300,GCF_042654745.1
FW_AS_rep_2,ASV_a20f813364808072b4c11333efb63f94d37cdec9,GCA_048240105.1
FW_AS_rep_2,ASV_b5f2b13884ad3e1d41eb5ee0d767d9edde1a0af6,GCA_035417985.1
FW_AS_rep_2,ASV_79568553fcb1b3f57119b674deff164323423586,GCF_002978625.1
FW_AS_rep_2,ASV_109cb898ec8d1aff9b8e6071cb4a87ec3f137f66,GCA_035377605.1
FW_AS_rep_2,ASV_5097a82e0f5f87951ce61ac1fe1e75617c27e621,GCA_022838865.1
FW_AS_rep_2,ASV_80ebbd7f9ac29d6c6985e03369e36d0b8b703b07,GCA_036847425.1
FW_AS_rep_2,ASV_dbedc23d4b356002e5fdaf8898b5989c5ca3d690,GCA_041910895.1
FW_AS_rep_2,ASV_8d70d8edda19a0cbb403650ac96a7953fe5f2d70,GCA_033811395.1
FW_AS_rep_2,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,GCA_018003655.1
FW_AS_rep_2,ASV_c4c651e3cc1f4aa19a45e5bac05c59fa032e397b,GCA_035421885.1
FW_AS_rep_2,ASV_20a6ff46c98724d3c12db54098afecb3f075cf3b,GCA_040766455.1
FW_AS_rep_2,ASV_37f1308a17ad23293fd0e4a0ab74b8adaf6e58ad,GCA_963748985.1
FW_AS_rep_2,ASV_b63bc6392b66e6defb5e027e87f3b6f5352b955a,GCF_049943315.1
FW_AS_rep_2,ASV_bff4918d24128086cf63208f78e74e0403618746,GCA_035394325.1
FW_AS_rep_2,ASV_532ec9243fa6f4634de664865242824cad2bf5d9,GCA_035396845.1
FW_AS_rep_2,ASV_598cf233b896fe83e4951a8493ce0468ff6669df,GCA_033810415.1
FW_AS_rep_2,ASV_a79fecaae72daf01f235a23d59c7a422ac52b31d,GCA_050948525.1
FW_AS_rep_2,ASV_880323daa69a2dea9072adcb420612ce28a5d1e9,GCA_017992995.1
