sample,feature_id,genome_id
FW_TWAS_rep_2,ASV_f5a2eee82f28e21cb66939577af0616b2f8d0c9c,GCA_021808285.1
FW_TWAS_rep_2,ASV_8aacac7e01f9b68d2728cc97d0e16e8580370b2b,GCA_963814445.1
FW_TWAS_rep_2,ASV_14299c435d052c167bf484e4dd8bc0a7e2306b53,GCA_030537075.1
FW_TWAS_rep_2,ASV_f52e6c17c2ef277e2607992ad5cdba7fa914cfc3,GCA_044355585.1
FW_TWAS_rep_2,ASV_59c6f49aae538059f427d15c7422ef8a48ae0b8c,GCA_041910895.1
FW_TWAS_rep_2,ASV_b29db807d1e5d7ee44301c4ddde71b3febf23e33,GCA_016722575.1
FW_TWAS_rep_2,ASV_8b26957de2489694461f49ca5eb4458435388ed7,GCA_016721435.1
FW_TWAS_rep_2,ASV_2a5211eebe70a981d4eb896ba21869dc171fb7b1,GCA_964448465.1
FW_TWAS_rep_2,ASV_4c53b87d74fa5909c7d2ef304ffef41c09b5abb1,GCA_044229135.1
FW_TWAS_rep_2,ASV_85024c87d3b02c1eb57ccd59fa65cae0d4ebe63c,GCA_004297465.1
FW_TWAS_rep_2,ASV_3df6d89481a9488de8f36f2ff4f634e0c5262fd3,GCA_018242085.1
FW_TWAS_rep_2,ASV_8a912a71e6dde38b2cc28e80282ab2fea370e59a,GCA_035460805.1
FW_TWAS_rep_2,ASV_550affa22df5272fe67a1e76cd5db2c6ae0d5a2c,GCA_018604165.1
FW_TWAS_rep_2,ASV_37f1308a17ad23293fd0e4a0ab74b8adaf6e58ad,GCA_963748985.1
FW_TWAS_rep_2,ASV_6ea0e3a6d7d6c3695e2dc1cbcbc47ce5b8da21f7,GCF_030238425.1
FW_TWAS_rep_2,ASV_8403221786f306c2496ad4cfa24b8515e767c449,GCA_016716985.1
FW_TWAS_rep_2,ASV_67a59d936b938b0736e89fe5bfdd76e1ee92095b,GCA_016722395.1
FW_TWAS_rep_2,ASV_e714b995687239a3997116b87a9078ad1616a3ab,GCA_016704085.1
FW_TWAS_rep_2,ASV_58c35ab3d1010219878561adbc56d2ffc07009f9,GCA_001771815.1
FW_TWAS_rep_2,ASV_eef4e0e52962f746afe2e4aca624b4e8e4ebd2ba,GCA_027492415.1
FW_TWAS_rep_2,ASV_fd680ce4a3e26b77c38dbe4bff95f3207564a1d9,GCA_041674545.1
FW_TWAS_rep_2,ASV_2f9cbc3b9d0460acd64d9c55f1017561d92bb9e7,GCA_018882785.1
FW_TWAS_rep_2,ASV_40fdd4aee16b72ba7bd404cf66b852363a3b8708,GCA_016707525.1
FW_TWAS_rep_2,ASV_1df18e9ea56b27aa9282777dbf9a4764bea71352,GCA_037046705.1
FW_TWAS_rep_2,ASV_101254eac0ff9a286568eb8d0f2d1e6502c9329a,GCA_030857175.1
FW_TWAS_rep_2,ASV_2cd0d951898354c45aa5b875855c9d91c752a976,GCA_016702775.1
FW_TWAS_rep_2,ASV_c3aa10d506d278cc6c9b5b36f490971651427325,GCA_037046685.1
FW_TWAS_rep_2,ASV_4e71c8f1b9879f64728278347c30e3f887464717,GCA_046330105.1
FW_TWAS_rep_2,ASV_6019730afb5ced58d5fc5110431dd1fb57c68370,GCF_020783315.1
FW_TWAS_rep_2,ASV_84b1e52ac1454dbc8c7af8337347131d012a24b7,GCA_016722075.1
FW_TWAS_rep_2,ASV_229cbe75af3dfc6518a9294400c2c83c8156be1e,GCA_046331345.1
FW_TWAS_rep_2,ASV_9410639e2f815d664ae167c9a37ff865e1365b8c,GCA_937869105.1
FW_TWAS_rep_2,ASV_ed596fe5b4c4f28c636679abe5e50f45d22b8a21,GCA_044223705.1
FW_TWAS_rep_2,ASV_c66e04989ab20bc6bdbed79cbb2f9f2b68aef3c4,GCA_049291395.1
FW_TWAS_rep_2,ASV_7aa321743638bd44f9a9f49269465e9f62df42b0,GCA_964560345.1
FW_TWAS_rep_2,ASV_b3eb5886bb3332ec404a14be93533c01e8227e2a,GCA_035332785.1
FW_TWAS_rep_2,ASV_cb1fc5be6bc5790d96ff6d5552a6bd7f5b6f3845,GCA_016795365.1
FW_TWAS_rep_2,ASV_1b636d6c9298da410b93c7229bed6e4a8cf87d48,GCA_022484585.1
FW_TWAS_rep_2,ASV_5fe48eecbe80253ef4a4b36aca649a231b6c3c1a,GCA_037045515.1
FW_TWAS_rep_2,ASV_250d3aef3fdac9cbfb64083cf8eafc0d7f7454aa,GCF_022012435.1
FW_TWAS_rep_2,ASV_f58407e8ebaa7548723817128a38563a07add220,GCF_963887565.1
FW_TWAS_rep_2,ASV_9896d378e9ff52e2c79ed602a22f5e49df0009e6,GCA_963736865.1
FW_TWAS_rep_2,ASV_6f903c46e5df0b0c80b1f5c6dc4859498eb66f49,GCA_016711875.1
FW_TWAS_rep_2,ASV_f57d343105ff9cdb54f36f2de2df238c85b55824,GCA_044230475.1
FW_TWAS_rep_2,ASV_9a029fdbc692d487dbe4f694fe85b2b8ecd692c6,GCA_937868245.1
FW_TWAS_rep_2,ASV_7ea01310d3af337028dbf62e83f4796c5c0a68b8,GCF_002165385.1
FW_TWAS_rep_2,ASV_4445ed9337e56aa9cffb33a6943c0eaf205d80b9,GCA_049290295.1
FW_TWAS_rep_2,ASV_066b71e43003b303e3ecea8d980b7a2cd7bb07e5,GCA_040080065.1
FW_TWAS_rep_2,ASV_e3de7fabc0e681c9f6a9075615291f74597433b3,GCA_044227005.1
FW_TWAS_rep_2,ASV_1cf401fe7ff5ace6a2dfa2fef1119ff466ad1b8f,GCA_937858715.1
FW_TWAS_rep_2,ASV_9c58ba1dd372347ce375d7aeb79a9e6099ca9033,GCA_943369995.1
FW_TWAS_rep_2,ASV_4f259b19bfaa8868da18931fc47ddcc3bf4fe077,GCA_964451255.1
FW_TWAS_rep_2,ASV_8147491df80b0ac7ca1f8fde61d6d627be2c1aaa,GCA_016719255.1
FW_TWAS_rep_2,ASV_d697e52ad2744602560297755934f30180af1754,GCA_963746195.1
FW_TWAS_rep_2,ASV_5693674871d0fd53ab726528df017427f96797fa,GCA_019636095.1
FW_TWAS_rep_2,ASV_4fc0cd3add292d9baf388508ff26bb40bbe27f89,GCA_016191845.1
FW_TWAS_rep_2,ASV_2eb2c7eef290c9fae65aede58f36478fc935f022,GCF_016711745.1
FW_TWAS_rep_2,ASV_ee445b8e3123a9cb72fd7118d82d1e33cc093ec8,GCA_041908585.1
FW_TWAS_rep_2,ASV_f8c7e3ecc1dcf63c83a43f6cf1e50d614c0c4534,GCA_016712025.1
FW_TWAS_rep_2,ASV_d24bcc38c2126dbc0da3ba2bf8edc2536473f9c0,GCA_044229175.1
FW_TWAS_rep_2,ASV_541c15a3f123802a455e7cd9d6e50124418ced4a,GCA_965229115.1
FW_TWAS_rep_2,ASV_252a7256b96d39222195ba96262d630a81da6435,GCA_036528635.1
FW_TWAS_rep_2,ASV_4ba034483bb5518035db6512be7fc911ada504c0,GCA_016704735.1
FW_TWAS_rep_2,ASV_b7c8868aa722bc65a157d945c5ace6dc8012f618,GCA_963712105.1
FW_TWAS_rep_2,ASV_c890b4a363c22ce6aba6adab8546c51d768b41c3,GCA_035426845.1
FW_TWAS_rep_2,ASV_30a7a410a2741d083dbf0e51d826e33a5b78253d,GCF_034925685.1
FW_TWAS_rep_2,ASV_3849b145f3d93a0a4ddf4616986dbd198b772b5f,GCA_016710525.1
FW_TWAS_rep_2,ASV_60519b721ecb986ed0f655be3110c41d2f71adcc,GCA_016704225.1
FW_TWAS_rep_2,ASV_1357580422f02ded6c4e4226c34dbca82d8bc901,GCA_037045785.1
FW_TWAS_rep_2,ASV_0dcc803e23fc9d875f565e04b06f486c891bc2db,GCA_036839835.1
FW_TWAS_rep_2,ASV_8c6f5963ceca6c93cc311f4ecf4cadf8d26549aa,GCF_040226955.1
FW_TWAS_rep_2,ASV_e4f8f4aaf03bbb14aed73331ff341b2f76a07494,GCA_016712375.1
FW_TWAS_rep_2,ASV_5d3012d78ea0643cc7391edf6cffd9a1192ec40f,GCA_049643045.1
FW_TWAS_rep_2,ASV_6d8564df58a6e68ea8ff270e7ce7ee6016f82443,GCA_044224815.1
FW_TWAS_rep_2,ASV_bb5ce42e51378653ba5889bee5f62339a25511b6,GCF_016717175.1
FW_TWAS_rep_2,ASV_437da84c643bcb18ccced8b42dda12d91b79c64f,GCA_937871805.1
FW_TWAS_rep_2,ASV_507e90e189c7f210f355a89973e299ed8c631a62,GCA_048499395.1
FW_TWAS_rep_2,ASV_d9ca23b980cbfe670b7c25e578cf617043ddc30f,GCA_044378235.1
