sample,genome_id,gene_id,marker_id,bits,evalue,fident
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,fadA,332,6.897e-103,0.47
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000010.1,crt,57,1.96e-10,0.285
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,fadB,139,9.196e-36,0.328
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000006.1,lctD,85,4.911e-21,0.316
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000006.1,crt,160,4.928e-46,0.376
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000001.1,frhG,41,7.375e-6,0.358
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,mmcG,104,9.061e-29,0.412
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000001.1,pepN,49,7.883e-8,0.242
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000006.1,fadD,113,1.015e-27,0.25
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,lctB,73,1.769e-16,0.261
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000002.1,oppA,189,2.538e-52,0.304
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,mmcF,75,1.292e-15,0.283
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000010.1,susC,703,2.033e-220,0.43
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000014.1,gapA,290,2.905e-89,0.48
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000014.1,mdh,241,7.238e-73,0.443
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000013.1,lctB,231,1.014e-70,0.445
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000007.1,pfkA,286,6.932e-88,0.49
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000002.1,agl,79,2.302e-17,0.268
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000007.1,gdh,58,4.322e-11,0.542
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000007.1,acs,52,4.881e-9,0.216
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000007.1,etfB,132,2.058e-36,0.358
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000007.1,fadD,330,3.695e-99,0.385
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,acs,76,3.532e-16,0.232
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000002.1,fadE,199,1.794e-57,0.361
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000008.1,susC,327,1.288e-93,0.296
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000008.1,acs,61,5.751e-12,0.227
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000008.1,fadD,49,1.965e-8,0.254
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000001.1,cazy_GH13,128,2.562e-32,0.316
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000001.1,cat,259,1.03e-80,0.604
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,etfA,93,6.657e-23,0.296
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000003.1,fadA,349,3.013e-108,0.503
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000007.1,pyk,363,6.671e-112,0.437
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000010.1,susD,172,1.313e-47,0.347
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,fadD,224,1.415e-63,0.326
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000011.1,extracellular_protease,126,6.523e-31,0.339
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000001.1,gdh,509,6.242e-162,0.56
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000003.1,mmcF,168,1.204e-50,0.606
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000009.1,pta,162,1.363e-42,0.328
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000003.1,fadB,133,2.351e-36,0.395
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000002.1,dppB,217,3.529e-64,0.4
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000002.1,dppA,158,4.185e-42,0.274
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,crt,127,2.424e-34,0.332
FW_TWAS_rep_2,GCA_044230255.1,JBGARK010000004.1,hbd,181,7.233e-49,0.31
